month,HOUSES,COMPUTERS,TVS,ACS,REFRIGERATORS,COOLERS,WASHING_MACHINES,CARS,TWO_WHEELERS,CATTLE_RURAL_GENERAL
2014-04,113.9,106.9,97.2,107.8,119.4,111.4,111.7,117.8,97.8,115.4
2014-05,114.3,114.3,97.4,107.1,119.2,112.7,115.5,112.3,100.2,116
2014-06,113.9,114.3,98.3,107.1,117.1,112.5,115.7,104.6,101.5,117
2014-07,114.8,114.3,97.7,107.4,119.1,115.8,118.1,110.2,100.6,119.5
2014-08,115.5,114.3,96.7,108.2,120.0,116.0,119.2,116.8,104.5,120.7
2014-09,116.1,115.5,96.8,107.0,121.0,116.6,116.0,131.0,106.9,120.9
2014-10,116.7,115.5,99.2,108.5,121.7,117.0,112.9,127.5,106.6,121
2014-11,117.1,115.5,98.1,108.3,121.8,117.2,118.1,129.3,102.7,121.1
2014-12,116.5,115.5,99.4,108.3,118.2,117.0,117.6,115.0,95.2,120.3
2015-01,117.3,115.5,99.5,108.5,119.9,116.3,112.6,124.6,103.1,120.3
2015-02,118.1,115.5,93.9,107.5,119.2,113.0,116.9,122.3,98.7,120.6
2015-03,118.6,115.5,93.9,108.0,117.2,113.6,117.3,126.6,98.6,121.1
2015-04,119.2,115.6,93.7,107.9,118.0,113.6,115.0,118.4,97.0,121.5
2015-05,119.6,115.6,95.0,108.7,118.7,114.2,114.6,119.3,98.8,122.4
2015-06,119,115.6,97.0,110.7,119.5,112.8,115.6,120.6,101.2,124.1
2015-07,119.9,115.6,95.7,109.6,122.5,118.2,117.3,122.7,101.5,124.7
2015-08,120.9,115.6,94.6,110.3,123.7,117.1,113.8,118.2,103.1,126.1
2015-09,121.6,115.6,97.2,108.8,124.5,114.4,113.7,118.4,103.2,127
2015-10,122.4,115.6,100.6,110.6,126.0,114.4,114.6,118.7,102.3,127.7
2015-11,122.9,115.6,102.8,110.5,125.5,111.6,116.4,118.7,101.0,128.3
2015-12,122.4,115.6,99.5,110.0,126.8,109.9,116.0,118.7,101.0,127.9
2016-01,123.4,115.6,99.6,112.1,126.2,114.2,117.3,118.3,102.3,128.1
2016-02,124.4,115.6,98.2,110.1,126.0,113.4,116.7,118.5,101.6,127.9
2016-03,124.9,115.6,96.3,110.5,126.3,113.9,117.3,118.5,100.3,128
2016-04,125.6,115.6,94.7,110.4,125.8,114.5,116.3,117.7,98.9,129
2016-05,126,115.6,95.0,110.2,126.9,115.3,116.4,117.7,99.6,130.3
2016-06,125.5,115.6,94.3,110.1,126.7,115.3,116.8,117.9,102.0,131.9
2016-07,126.4,115.6,94.7,109.3,126.7,115.3,117.0,117.4,100.3,133
2016-08,127.3,115.6,95.7,109.8,127.3,116.0,117.1,117.1,102.7,133.5
2016-09,127.9,115.6,94.6,109.8,127.5,115.9,117.4,116.9,102.7,133.4
2016-10,128.7,115.6,97.1,109.8,127.6,116.1,117.5,116.8,102.7,133.8
2016-11,129.1,115.6,97.7,110.4,126.6,116.2,116.8,116.8,103.8,133.6
2016-12,128.5,115.6,93.5,109.5,126.8,117.0,116.4,116.6,104.7,132.8
2017-01,129.6,115.6,94.8,109.9,127.3,117.0,118.5,117.2,105.9,132.4
2017-02,130.5,115.6,96.7,109.7,126.5,117.0,117.4,117.3,104.9,132.6
2017-03,131.1,115.6,94.8,110.6,127.2,117.0,116.7,117.4,105.1,132.8
2017-04,131.7,115.6,97.5,114.1,126.7,118.2,115.6,117.2,102.8,132.9
2017-05,132.1,115.6,93.7,114.2,128.4,118.2,114.8,117.5,104.0,133.3
2017-06,131.4,115.6,95.7,114.3,129.2,118.2,114.5,117.5,104.3,133.9
2017-07,132.6,115.6,98.7,113.3,129.2,118.2,115.5,109.6,104.2,136.2
2017-08,134.4,115.6,100.0,114.2,130.4,118.2,115.4,111.8,104.1,137.8
2017-09,135.7,115.6,100.6,114.5,130.7,117.5,115.4,109.9,104.6,137.6
2017-10,137.3,115.6,99.0,113.3,130.7,117.5,113.2,108.5,105.8,138.3
2017-11,138.6,115.6,95.9,113.3,130.6,117.5,113.7,108.5,106.1,140
2017-12,139.1,115.6,97.8,113.8,130.9,117.2,113.3,108.5,107.0,139.8
2018-01,140.4,115.6,98.7,115.0,130.7,117.5,113.6,108.5,107.5,139.3
2018-02,141.3,115.6,98.6,115.8,130.7,117.9,113.4,108.1,107.8,138.5
2018-03,142,115.6,97.5,116.0,130.8,117.9,112.8,108.0,105.2,138.7
2018-04,142.9,115.6,98.3,115.9,130.6,118.2,113.7,109.0,105.1,139.1
2018-05,143.2,115.6,98.3,114.8,131.4,118.2,115.7,110.6,105.2,139.8
2018-06,142.5,115.6,99.7,115.2,132.0,118.2,115.7,110.6,105.4,140.5
2018-07,143.6,115.6,96.9,116.0,132.2,118.2,114.4,109.6,106.1,141.8
2018-08,144.6,115.6,99.8,117.5,129.6,118.2,115.3,113.4,105.6,142.5
