month,Yeild
2014-04,8.855
2014-05,8.6456
2014-06,8.5619
2014-07,8.6456
2014-08,8.6038
2014-09,8.5201
2014-10,8.4364
2014-11,8.2692
2014-12,8.3528
2015-01,8.2275
2015-02,8.3946
2015-03,8.2692
2015-04,7.9353
2015-05,7.8519
2015-06,7.6851
2015-07,7.4769
2015-08,7.4353
2015-09,7.3937
2015-10,7.1027
2015-11,7.1443
2015-12,7.2274
2016-01,7.3105
2016-02,7.3521
2016-03,7.2689
2016-04,6.8121
2016-05,6.8536
2016-06,6.7292
2016-07,6.5634
2016-08,6.5634
2016-09,6.5219
2016-10,6.3563
2016-11,5.8602
2016-12,6.2735
2017-01,6.2322
2017-02,6.1495
2017-03,5.8189
2017-04,6.1908
2017-05,6.2735
2017-06,6.2735
2017-07,6.1495
2017-08,6.1081
2017-09,6.1081
2017-10,6.1081
2017-11,6.1495
2017-12,6.1908
2018-01,6.3977
2018-02,6.3563
2018-03,6.1081
2018-04,6.1908
2018-05,6.3977
2018-06,6.5219
2018-07,6.6877
2018-08,6.8121
2018-09,7.1858
2018-10,6.9366
2018-11,6.7706
2018-12,6.6462
2019-01,6.5634
2019-02,6.3977
2019-03,6.3149
2019-04,6.3977
2019-05,6.1908
2019-06,6.0254
2019-07,5.7364
2019-08,5.4065
2019-09,5.4065
2019-10,5.0361
2019-11,4.9896
2019-12,5.0258
2020-01,5.1266
2020-02,5.0793
2020-03,4.3595
2020-04,3.6427
2020-05,3.1939
2020-06,3.1947
2020-07,3.2979
2020-08,3.2367
2020-09,3.3578
2020-10,3.1972
2020-11,2.9292
2020-12,3.079
2021-01,3.3468
2021-02,3.1699
2021-03,3.3162
2021-04,3.3199
2021-05,3.3998
2021-06,3.4679
2021-07,3.388
2021-08,3.2958
2021-09,3.4488
2021-10,3.561
2021-11,3.53
2021-12,3.657
2022-01,3.708
2022-02,3.6954
2022-03,3.84
2022-04,3.9799
2022-05,4.8869
2022-06,5.1595
2022-07,5.6229
2022-08,5.5998
2022-09,6.1776
2022-10,6.3994
2022-11,6.4482
2022-12,6.3099
2023-01,6.4731
2023-02,6.8154
2023-03,6.7366
2023-04,6.8225
2023-05,6.7677
2023-06,6.7599
2023-07,6.72
2023-08,6.8225
2023-09,6.8648
2023-10,6.9349
2023-11,6.9599
2023-12,6.93
2024-01,6.9698
2024-02,6.9594
2024-03,7.0101
2024-04,6.92
2024-05,6.8478
2024-06,6.8034
2024-07,6.713
2024-08,6.6342
2024-09,6.6462
2024-10,6.5116
2024-11,6.4929
2024-12,6.5489
2025-01,6.5625
2025-02,6.449
2025-03,6.5199
