Date,SMB,HML,WML,MF,RF
2014-04,5.592208684,7.810347062,-3.415147437,0.013120604,0.701553255
2014-05,4.340620045,10.49913276,-8.697000415,9.950841952,0.693804791
2014-06,9.644132599,5.182858794,2.562922313,6.929203852,0.699993122
2014-07,0.896284411,-9.319494002,-1.127898236,-0.233563553,0.700632631
2014-08,3.732569138,-4.896134139,5.49407516,2.452235471,0.637589735
2014-09,5.274204856,-1.06954181,6.168894633,1.395621922,0.747218383
2014-10,-1.584347617,1.394288611,2.173080625,1.136527361,0.693402645
2014-11,2.07270011,-1.541368886,5.857389794,1.025324822,0.614857637
2014-12,4.591429484,-5.249085904,4.779200678,-3.01461918,0.721903403
2015-01,-0.043131558,0.899789194,3.365132276,5.013091935,0.658214986
2015-02,-0.344919642,0.013841613,0.885968514,0.516261671,0.634514653
2015-03,0.260915605,-5.682929627,8.391638931,-2.453065824,0.678624707
2015-04,1.731055878,2.957053811,-5.470447498,-3.623528571,0.630125776
2015-05,0.293563269,-3.635598585,3.403415367,3.056454858,0.608455168
2015-06,-1.609088841,-0.956602231,3.80013953,-1.686747849,0.65292372
2015-07,9.18269273,5.871965684,9.170898913,2.60942845,0.61770512
2015-08,0.318022953,-3.262676627,5.37018531,-6.149333597,0.608100914
2015-09,0.407040661,2.066547092,1.916881582,-0.983683052,0.590696131
2015-10,0.591941732,7.80697566,-6.69027837,1.814035287,0.562841238
2015-11,7.8116405,0.415904522,1.128256309,-1.478585387,0.586008256
2015-12,-1.315732724,6.417088459,-0.30433484,1.178661752,0.591347782
2016-01,-1.50162247,-5.476064621,1.124978466,-6.048716421,0.557507081
2016-02,-8.796609628,-4.560577278,-3.899304368,-8.769868991,0.603407459
2016-03,-1.817687094,5.726608391,-2.914534416,9.955026725,0.597428662
2016-04,2.982792852,5.486358874,-1.887013774,1.846693296,0.532299018
2016-05,1.544155844,-3.668742384,-0.296641626,0.675217145,0.581925195
2016-06,5.352801774,1.336134541,-2.646003081,3.181930725,0.541893243
2016-07,-1.969594533,3.190029752,1.351698569,4.177502949,0.509321374
2016-08,-0.851271053,-1.527601322,2.314236488,0.604943759,0.576000961
2016-09,1.399364562,-0.204318171,1.457628222,-0.97048732,0.521785212
2016-10,5.25042048,7.890267668,3.361866544,2.541128668,0.510330253
2016-11,-8.288230726,3.308932881,0.840552097,-5.689066419,0.507887775
2016-12,-0.329396568,-1.644064532,-0.829038913,-1.343924559,0.486757861
2017-01,0.139455015,8.615344864,4.382318529,4.884289665,0.532465811
2017-02,0.112243661,0.665090076,-2.114887838,3.784138995,0.459501847
2017-03,1.521249681,0.826203707,2.076957399,2.696722279,0.491812054
2017-04,6.610936927,0.833838498,3.638447402,1.922500473,0.445458285
2017-05,-2.405895855,-5.357228971,2.227591698,-0.33064363,0.549429181
2017-06,1.927705228,1.72427514,-1.005936536,-0.532276403,0.501761021
2017-07,-0.491805416,6.745231625,0.345562559,4.012723191,0.513148971
2017-08,-4.14572958,3.358620074,7.278853147,-0.219274332,0.506935984
2017-09,0.692429671,1.288044474,-2.605209767,-1.458414419,0.471094592
2017-10,1.556488694,6.682491028,3.803733671,8.142472749,0.519389754
2017-11,5.656853215,-3.636554034,-0.016909342,0.062227434,0.488261666
2017-12,0.449719734,5.387541437,-1.8908607,4.468225591,0.475919181
2018-01,-3.210422029,-1.074319478,0.48903391,-0.541981576,0.554680461
2018-02,-1.352435546,-2.592581858,1.793226891,-3.505013828,0.475029463
2018-03,-2.623669076,-6.780767285,4.829276571,-5.267953046,0.466678025
2018-04,0.813734445,-0.702247027,3.721789964,6.51239927,0.538172899
2018-05,-4.287488957,-2.02215863,2.336516938,-4.110564622,0.51989891
2018-06,-6.45095025,-5.111488696,0.753330736,-2.921367736,0.500223283
