Company Name,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
20 Microns Ltd.,0.654894046,0.648142564,0.609930332,0.701758192,0.652149368,0.735795231,0.718079452,0.732182485,0.707792452,0.553924526,0.600789153,0.578811517,0.607837462,0.630383596,0.654456045,0.751192186,0.824165141,0.885748885,0.736168775,0.81288106,0.634104851,0.847795865,0.886774983,0.845753855,0.751040097,0.833904415,0.849229259,0.860822832,0.660264632,0.726796048,0.651702729,0.742064875,0.803997451,0.700331769,0.752783799,0.949857343,0.757289452,0.892483409,0.901770991,0.885396422,0.911402724,0.818513959,0.688417024,0.606940565,0.600086603,0.690139431,0.720888218,0.741443075,0.790527708,0.875095788,1.056997726,0.946415254,0.801330276,0.921415948,0.950033642,0.950033642,0.990201828,1.127841214,1.143269957,1.093887877,1.161688225,1.061542686,1.163255951,1.34226695,1.344255499,1.17610479,1.228239819,1.403964146,1.383238807,1.395129112,1.560577119,1.923311264,1.691587027,1.879181754,1.471901981,1.667469366,1.540860222,1.769384746,1.760039396,1.557168822,1.280844378,1.404909794,1.412618489,1.605230207,1.477063923,0.880247144,0.966839266,0.874517024,1.079951385,0.973728629,1.017800035,1.025683165,0.983506147,0.682005083,0.876453161,0.896117536,0.817015803,0.824651463,1.009685801,0.768750788,0.631686695,0.737173555,0.810103598,0.772747614,0.791419165,0.916965975,1.096816659,1.028268088,0.91442632,0.82818774,0.851836331,0.682480026,0.688681704,0.596307014,0.585754751,0.45526799,0.474388212,0.511334201,0.578029966,0.601360334,0.533408646,0.526057623,0.414970037,0.34914342,0.300075807,0.331309188,0.373065098,0.425219135,0.433840993,0.501304662,0.593716958,0.53476171
3I Infotech Ltd.,1.300820994,1.018976445,0.678182293,0.852603086,0.904276,0.711957268,0.785103562,0.730096305,-0.196629206,-0.207340114,-0.189396604,-1.377851725,-1.304398844,-2.706634826,-1.753594287,-2.421798945,-2.875886257,-3.440155633,-2.678362629,-2.522307088,-2.114597112,-2.205547528,-2.547591135,-3.715739038,-3.628309888,-4.057978152,-2.976132944,-2.96996686,-2.885110663,-1.354127305,-1.170861955,-1.428666423,-0.90992407,-0.576966786,-0.633532157,-0.624665544,-0.546660546,-0.548702857,-0.463545176,-0.47471494,-0.480312195,-0.401684415,-0.663773685,-0.655153246,-0.313401375,-0.073961626,-0.061519829,-0.067900198,-0.016756566,-0.017462105,-0.019458118,0.044996944,0.044996944,0.048306471,0.194243582,0.173524267,0.371671667,0.399408358,0.399408358,0.347537143,0.402512533,0.431263428,0.457400606,0.665273778,0.855352,0.835526501,0.835526501,0.856950257,0.952114359,0.825165778,0.952114359,1.797110766,1.460152498,1.460152498,0.92035037,1.035394166,0.671607027,0.75785,0.833635,0.735560295,0.406802325,0.394567669,0.426646341,0.639210336,0.599008428,0.544241943,0.497122234,0.526521936,0.57948568,,-1.059597719,-0.419116917,-0.443068188,-0.530561235,-0.800445753,0.935034595,0.828707653,1.018552524,1.186005096,1.146058351,1.111178739,1.134284629,1.132992528,1.171693097,1.220573546,1.375198841,1.628355569,1.732378762,1.44760417,1.529060996,1.382091911,1.340390862,1.42316519,1.152253646,1.093469395,0.855470172,0.812652973,0.027456702,0.034701437,0.043233595,-0.020480796,-0.022834978,-0.021826632,-0.035735776,-0.037649829,-0.016188096,-0.018303543,-0.017837496,0.010467249,0.010345579,0.012521576,0.014076217
3M India Ltd.,0.165405664,0.141234738,0.142964058,0.131230063,0.108878574,0.105653068,0.107312046,0.10556087,0.105440023,0.099827296,0.086741631,0.090356253,0.090090024,0.089782055,0.090034725,0.086337705,0.069525422,0.072375748,0.067868343,0.069191413,0.073167636,0.084396228,0.080323612,0.081782154,0.065830035,0.070648321,0.072533537,0.063621423,0.072210029,0.07551432,0.073171881,0.086148957,0.087468327,0.08451466,0.090515195,0.094113802,0.094669088,0.078688137,0.086679575,0.085761157,0.077818079,0.080225306,0.084587429,0.077735207,0.062757124,0.068190723,0.061866984,0.066024466,0.066463406,0.069797867,0.069465532,0.062018341,0.05598479,0.064362024,0.076057811,0.069760383,0.07679453,0.079358463,0.069845499,0.065916899,0.071998825,0.072584205,0.071102244,0.081773231,0.085307309,0.087458678,0.080391615,0.081282395,0.087680388,0.081283845,0.090788903,0.097820267,0.094934851,0.100647029,0.096105505,0.085697267,0.089137726,0.102103305,0.100090254,0.085481734,0.091979547,0.099991365,0.083913876,0.064791133,0.077219394,0.077224837,0.082068143,0.08097211,0.081866601,0.082731867,0.080881199,0.082064642,0.083379541,0.08461706,0.09970445,0.112162044,0.110660617,0.109404343,0.104352618,0.100274695,0.097816466,0.096283189,0.10173233,0.065051229,0.069232418,0.069410446,0.070745353,0.075296095,0.076684092,0.068741593,0.067844242,0.059906778,0.055616673,0.054476041,0.062573577,0.060002919,0.04991694,0.057614245,0.061993646,0.063552363,0.062550754,0.057085596,0.051782064,0.0346258,0.038142541,0.04371516,0.041030713,0.045868971,0.051987119,0.05285826,0.060084203,0.054693624
63 Moons Technologies Ltd.,1.653908301,1.983997687,2.173867038,1.717409341,2.155292423,2.769476769,3.542169517,3.335792928,3.007766194,3.036859171,3.403759255,3.113416099,3.445969203,3.667231126,3.847946994,3.95422239,4.911427472,5.227843548,5.223154892,5.65968679,5.251716254,5.830783772,8.355329697,7.723036827,7.002520264,7.629810843,6.980885295,7.236334611,7.904960557,7.578613953,7.471742016,8.267578839,8.480453189,7.578991851,7.684122884,8.188360928,8.081183422,9.019757685,9.94547043,9.705540801,10.37572374,7.974181542,4.288527413,4.654699218,5.263028371,5.960885713,6.692028097,7.221974833,6.879774765,7.988845693,7.958178342,8.749451348,7.893705634,9.022634992,8.34213455,6.274319086,6.295865055,7.040537279,7.819377344,7.669931789,4.946428353,4.800832476,5.533816728,6.493107023,5.626179931,4.9264585,5.08091842,5.873221865,6.024714269,5.951634282,6.914497331,12.8415507,10.03995602,10.79112061,7.80282219,8.42660239,7.300970902,8.631997538,7.612864911,6.213765463,7.200738832,7.669536944,7.289856893,8.323521401,6.787021861,6.570702429,6.284684573,5.704847609,6.203329439,6.095477591,6.195622341,5.376999242,2.468424685,2.156091471,2.65084063,2.083882194,2.544137687,3.088611111,3.343700217,3.082459263,3.08755564,3.480808471,3.551372845,3.679581255,3.344774487,3.442935181,2.773545727,3.249487211,3.332440671,3.342247732,2.376388664,2.412027069,1.750588354,2.058538484,2.268866363,1.211906667,1.264732379,1.462548983,1.302527286,1.619113779,1.448341135,1.880007868,1.70025228,1.582720881,1.901298531,1.594469028,1.082095349,0.934726055,0.685595133,0.823716025,0.897066317,0.761641368
A 2 Z Infra Engg. Ltd.,12.09157809,7.691161931,7.072236692,3.849849136,4.830471097,5.169918915,5.384391537,6.472575646,6.061619251,6.477057315,5.303916844,5.971425744,5.837879494,4.9832428,4.789428749,2.4690331,3.126723147,2.708811527,2.659560401,2.337815738,2.384177425,2.693424213,3.602258509,2.786403972,2.145045998,2.226885102,1.309995824,1.324462038,1.389657746,1.465757264,1.159845871,1.219744014,1.238816255,1.197598724,1.228647581,0.961259816,0.867332141,1.03069691,0.938572239,0.963970258,1.060497728,1.073925138,1.005453541,0.903682025,0.909226085,0.978156627,1.072451457,1.421810644,1.301917122,1.485129339,1.678375086,1.477320222,1.620402081,2.66623928,2.780474177,2.476042705,2.624214249,3.308791885,2.038452146,2.063011809,2.048933873,2.342570892,2.990110818,3.943899614,4.274278649,3.742839711,4.328311841,4.377219331,5.019534694,5.121282024,8.421663788,6.488005746,5.378215266,5.109304515,3.609835087,4.963523264,3.9708186,4.704568427,5.014079477,4.704568427,3.596074851,3.8331787,4.152610258,4.226818384,4.342621655,3.3724615,2.731637749,2.991793729,3.41454716,1.581985484,1.342290703,1.155537221,0.646449685,0.497268987,0.656820536,0.630164352,0.447138676,0.490410161,0.5978315,0.502379412,0.482122177,0.553958543,0.564928018,0.528312314,0.573444522,0.638368589,0.807080283,0.142465,0.144656769,0.11827283,0.131696944,0.137422899,0.083913097,0.098260933,0.048659793,0.043680651,0.040133932,0.031648953,0.027225963,0.032469482,0.03222,0.025969672,0.021641393,0.023210341,0.02677614,-0.045857982,-0.048778184,-0.048463855,-0.03346606,-0.040508016,-0.051335873,-0.059147037
A B B India Ltd.,0.152508467,0.142226713,0.116888681,0.125985579,0.132951758,0.115761739,0.113939265,0.119614224,0.103002342,0.103355337,0.094814703,0.107340587,0.101253789,0.101234843,0.10418406,0.099503066,0.112395382,0.132807647,0.113681115,0.12029308,0.127388153,0.146199254,0.140110625,0.113876301,0.112546442,0.11803274,0.121436466,0.117523651,0.128302613,0.133078531,0.138260736,0.143212115,0.145592695,0.141540475,0.12944421,0.124498966,0.113043578,0.109171161,0.11228644,0.114629362,0.121531242,0.116440292,0.120376314,0.119261878,0.118913333,0.10295783,0.111121191,0.131471737,0.125613834,0.13852855,0.144799656,0.144020087,0.134107974,0.124462245,0.14117145,0.128188727,0.141467185,0.148633388,0.15411455,0.143697765,0.12829656,0.120938699,0.118436832,0.141647822,0.144256525,0.129870463,0.134923355,0.135929829,0.129247009,0.126737406,0.140181197,0.180847865,0.187846419,0.22729606,0.180559263,0.184516634,0.17368726,0.196559976,0.189038043,0.15733951,0.140411548,0.122585765,0.11136722,0.125424779,0.124419862,0.10297806,0.096875633,0.103093028,0.092401698,0.096669287,0.08530099,0.087702582,0.085464431,0.082959237,0.088399061,0.096618829,0.096967991,0.083756614,0.091233032,0.07672024,0.064337778,0.070988532,0.071888181,0.073063279,0.081714864,0.082089022,0.072448375,0.07270053,0.069968306,0.057962668,0.05722338,0.055591946,0.056509453,0.060415785,0.064420437,0.059895447,0.056627037,0.060049427,0.051520565,0.044102109,0.046202789,0.033469847,0.032788104,0.037904848,0.036374406,0.038417632,0.041652347,0.04169837,0.048304038,0.056835656,0.067651981,0.060200962
A C C Ltd.,0.338751771,0.32760362,0.306852913,0.312231204,0.292012688,0.319215311,0.297987519,0.302814782,0.313285959,0.281103102,0.26139523,0.288888115,0.314891471,0.298505622,0.317371691,0.322516412,0.335213147,0.336879683,0.328858157,0.337506203,0.330500724,0.362643289,0.376661203,0.334461628,0.320266448,0.30220824,0.293927044,0.281281932,0.271377423,0.293007604,0.308857332,0.34920159,0.352179268,0.33272114,0.333192584,0.33302035,0.296064724,0.294165772,0.318036942,0.28138596,0.270905789,0.294343742,0.274750179,0.298075693,0.282734559,0.290754078,0.307270838,0.330823173,0.322444593,0.366726697,0.370750044,0.336069266,0.313715918,0.331176577,0.381908537,0.353448574,0.371729404,0.39386315,0.394153915,0.328035306,0.345961635,0.334891273,0.361442042,0.377248911,0.387314011,0.375980553,0.385595566,0.39722309,0.424365211,0.407738646,0.464461193,0.6365731,0.522874266,0.474351411,0.462970237,0.432699918,0.466630427,0.456512452,0.38576548,0.373084236,0.416689291,0.420274609,0.388909203,0.362401473,0.366347419,0.347292668,0.35644576,0.299973651,0.297599419,0.329154617,0.318024806,0.32456223,0.341771317,0.331304734,0.362482251,0.361700496,0.309220958,0.327576732,0.34495423,0.328623341,0.31829179,0.301005911,0.304198188,0.283673043,0.297806737,0.372405925,0.42328728,0.448210942,0.423891586,0.420468874,0.425628476,0.377973407,0.380263013,0.379034682,0.414774204,0.417571727,0.354178249,0.318856221,0.308548239,0.325587303,0.33677219,0.334841278,0.322689469,0.333754942,0.371226517,0.348961081,0.377993548,0.394635094,0.455586411,0.465764007,0.514195985,0.481348215
A D F Foods Ltd.,1.69535125,1.448455437,1.277242632,1.388757066,1.261577351,1.127936492,1.120716415,1.276926483,1.142792214,1.135492619,1.239278931,1.352610076,1.226713292,1.153092755,1.265794132,0.985785127,1.090909095,0.89734341,0.934419576,0.873914078,0.91206913,0.949816957,1.25241351,1.022727274,0.970724192,1.007140574,0.964275027,0.73510841,0.68488174,0.705138354,0.482075493,0.571898374,0.628965923,0.59991978,0.624838567,0.536830834,0.427860345,0.339757667,0.383516083,0.390285866,0.403452735,0.401323922,0.408914859,0.307650566,0.311967092,0.369143244,0.410631091,0.493223475,0.404557052,0.372109643,0.43037418,0.40986501,0.355156291,0.423123415,0.475741633,0.357931378,0.365540634,0.406801618,0.424313526,0.411299946,0.425860876,0.357935268,0.384640979,0.43299438,0.423616355,0.407545747,0.388873614,0.369432183,0.374806436,0.394475579,0.429315647,0.678523347,0.559403341,0.422291668,0.401561286,0.349253823,0.335245783,0.291599799,0.294170667,0.26486876,0.197692745,0.199287915,0.154382221,0.150648634,0.142529607,0.135064553,0.153392443,0.15318914,0.172961026,0.15983656,0.16715609,0.174172519,0.181410526,0.169259879,0.199256612,0.208194419,0.22585864,0.213333611,0.241652063,0.249706556,0.235072639,0.240613877,0.248209717,0.213155827,0.226314943,0.242822663,0.25334913,0.260216592,0.259292787,0.218662488,0.21469205,0.183222149,0.179374036,0.187284319,0.171512994,0.172219939,0.183922118,0.180551691,0.203239311,0.209008473,0.1804141,0.19126924,0.169546141,0.177189887,0.153671202,0.163811993,0.144952781,0.128399387,0.150531472,0.164694229,0.189372111,0.189267521
A G I Greenpac Ltd.,1.135788194,0.802079995,0.664234519,0.705783232,0.554349072,0.490488691,0.466615058,0.481114577,0.513935841,0.450152905,0.421909261,0.44070994,0.512937877,0.561844388,0.574830727,0.66725337,0.765020825,0.76403626,0.733463891,0.643562831,0.703430954,0.768988718,0.876218857,0.689559651,0.644840225,0.686599109,0.708616323,0.622274219,0.561158001,0.584652047,0.568516219,0.676588482,0.721792651,0.699439113,0.649503277,0.573295412,0.589210928,0.59033819,0.553122793,0.534268825,0.518579218,0.519912669,0.483797351,0.400398646,0.406619584,0.478615707,0.472139102,0.559266064,0.545678607,0.603732925,0.614081604,0.623968981,0.634620637,0.790794871,0.853728565,0.983432421,0.879294834,0.833670208,0.924992953,0.824185337,0.642659896,0.611879215,0.676306356,0.793527225,3.838396406,4.279066432,3.641663833,3.735039825,3.641388474,3.320290435,3.403297692,4.308574768,3.249551254,3.555235006,3.268849359,3.114462293,2.743218382,2.17556064,2.299857588,1.782020485,1.596845325,1.403521215,1.087155377,1.241305964,1.244953288,0.792290031,0.758994107,0.771935832,0.879565742,0.832177268,0.811372836,0.923734681,0.937623133,0.640955096,0.696685408,0.727164265,0.673979345,0.940624726,1.108387811,0.794412981,0.717057254,0.675406102,0.685566443,0.761856258,0.689653433,0.715944067,0.675795736,0.76690013,0.600247189,0.434129829,0.447142979,0.418270505,0.343819336,0.282566262,0.295902246,0.273621056,0.316928104,0.341024571,0.332160304,0.37465762,0.336464225,0.430277791,0.398262802,0.363061819,0.306866597,0.307556014,0.313829667,0.30792471,0.276099653,0.391178994,0.486528489,0.415001296
A I A Engineering Ltd.,0.230479145,0.184160572,0.18636539,0.185576618,0.164696476,0.166798881,0.166914264,0.129754695,0.153886862,0.146439414,0.146787834,0.139802464,0.152189793,0.172114779,0.18359331,0.185946952,0.201639362,0.206345025,0.213347611,0.231523857,0.239440362,0.260051635,0.264836676,0.231418902,0.219484796,0.231074675,0.21958717,0.21953382,0.176271157,0.180739572,0.17961822,0.174605462,0.179812237,0.178597942,0.160629276,0.161722975,0.170399354,0.174445043,0.189536566,0.182348735,0.201708772,0.199036932,0.19917835,0.18607371,0.17685614,0.184771099,0.197124682,0.196878516,0.197144364,0.184565985,0.189751943,0.179291584,0.168205324,0.166374846,0.179428421,0.180805919,0.189744688,0.198002927,0.18551376,0.1771785,0.185556268,0.188285036,0.187744395,0.202675713,0.219315184,0.202088572,0.208011607,0.219270863,0.227138903,0.210936618,0.209468382,0.27488007,0.238147348,0.23017499,0.246606611,0.239569866,0.219956425,0.222584355,0.242148252,0.221649102,0.215116497,0.21734015,0.233456235,0.211476158,0.233040993,0.225311868,0.207992441,0.22248964,0.215748131,0.22903504,0.233531777,0.235993051,0.251259587,0.249058239,0.289663227,0.300214961,0.251449787,0.213877211,0.226385134,0.209887126,0.193068305,0.206914162,0.193600826,0.192285106,0.202416817,0.202675382,0.210076954,0.199875126,0.213428038,0.189335817,0.189509887,0.17537754,0.164138646,0.168109201,0.175722897,0.171999675,0.167438036,0.156630458,0.17647404,0.164315462,0.180253256,0.186181123,0.163802674,0.153766761,0.161715918,0.167260373,0.189883601,0.20727524,0.219673604,0.203084386,0.237953805,0.223012916
