month,weighted_avg_consumption
2014-04,7208.683747
2014-05,7005.035044
2014-06,7311.807185
2014-07,8051.858683
2014-08,7449.553517
2014-09,7041.358808
2014-10,7084.855961
2014-11,7583.323542
2014-12,7038.111158
2015-01,7156.285321
2015-02,7364.984222
2015-03,7379.965523
2015-04,7149.305019
2015-05,7148.943769
2015-06,7294.199954
2015-07,7497.224456
2015-08,7344.906725
2015-09,7249.271066
2015-10,7795.153155
2015-11,8623.607268
2015-12,8974.459139
2016-01,8204.507978
2016-02,8281.110625
2016-03,8731.486596
2016-04,8498.080296
2016-05,8111.399484
2016-06,8305.302884
2016-07,8070.392998
2016-08,8027.795543
2016-09,7762.947859
2016-10,8127.521107
2016-11,7598.873357
2016-12,7819.396252
2017-01,7680.331434
2017-02,8075.972777
2017-03,8042.169311
2017-04,8213.528465
2017-05,7846.264562
2017-06,8484.426157
2017-07,8472.966054
2017-08,8529.481737
2017-09,7878.357425
2017-10,8725.393965
2017-11,8652.562782
2017-12,9648.823489
2018-01,9329.659427
2018-02,10205.78346
2018-03,9464.933619
2018-04,9823.236093
2018-05,10105.26463
2018-06,10682.35833
2018-07,10327.83125
2018-08,10064.73592
2018-09,10127.12865
2018-10,10551.86768
2018-11,10296.55527
2018-12,10622.55853
2019-01,10580.05043
2019-02,10875.07161
2019-03,10538.18631
2019-04,10393.99781
2019-05,10326.85355
2019-06,11049.64219
2019-07,10471.54334
2019-08,10747.00872
2019-09,10253.87955
2019-10,10889.73927
2019-11,10642.4132
2019-12,10971.90698
2020-01,10274.88036
2020-02,11470.63452
2020-03,7341.47975
2020-04,3375.980686
2020-05,3415.140919
2020-06,3750.024056
2020-07,4171.209051
2020-08,3856.29356
2020-09,5930.856254
2020-10,7762.63635
2020-11,7343.248358
2020-12,7436.691144
2021-01,8444.002452
2021-02,9067.622518
2021-03,8466.977869
2021-04,6608.815133
2021-05,4975.852567
2021-06,7490.328267
2021-07,8104.225888
2021-08,8360.005734
2021-09,8005.008034
2021-10,9031.523499
2021-11,8615.526176
2021-12,8878.097143
2022-01,8099.778224
2022-02,9247.705703
2022-03,9426.958213
2022-04,9294.594118
2022-05,9352.80631
2022-06,9644.835607
2022-07,8152.65026
2022-08,7711.534424
2022-09,7606.177438
2022-10,9609.369017
2022-11,9443.599491
2022-12,11062.13219
2023-01,11150.78282
2023-02,11130.35603
2023-03,11628.28098
2023-04,11362.07382
2023-05,10714.99691
2023-06,9701.072935
2023-07,8205.484066
2023-08,7120.265176
2023-09,7855.991771
2023-10,9033.366454
2023-11,8791.223091
2023-12,8900.605502
2024-01,9361.370458
2024-02,9925.946165
2024-03,9990.04817
2024-04,9085.544674
2024-05,10339.68778
2024-06,12030.97373
2024-07,12588.6343
2024-08,12168.25024
2024-09,11852.94445
2024-10,12286.78159
2024-11,13695.00711
2024-12,13446.53209
2025-01,14033.56619
2025-02,14230.81539
2025-03,14458.00566
